,name,address,stalls,lat,lon
0,112 BUKIT MERAH MARKET & FOOD CTR,"112 JALAN BUKIT MERAH, S160112","['112 COFFEE STALL', '112 YONG TAU FOO', 'AH BAO MEI SHI', 'AH CHENG ROASTED MEAT', 'B FISH STALL (WM)', 'BAN HONG (LU)', 'C FISH STALL (WM)', 'CHICKEN AND DUCK MEAT', 'CHINA STREET MEI SHI', 'DOLPHIN FLORIST & TRADING', 'EASTERN COFFEE SHOP', 'GUANG FA MIXED VEG RICE', 'HONG YONG CHAO ZHOU', 'HONG YONG COFFEE STALL', 'JENNY FRUITS STALL (WM)', ""JENNY'S SEWING 'N' CRAFT"", 'JIT MAN PRAWN NOODLE', 'KE KOU COOKED FOOD', 'KIAN SENG HIONG (WM)', 'KIM KEE VEGETARIAN FOOD', 'KOH FISH STALL (WM)', 'KONG HIN GOLDSMITH', 'KWAN PORK STALL (WM)', 'LAO DING MEI SHI', 'LEE VEGETABLE (WM)', 'LIM FROZEN FOOD (WM)', 'LIM LENG RE YIN PIN', 'LIM YEO FROZEN FOOD (WM)', 'LIN JI TRADITIONAL', 'LU JIANG', 'LYE HUAT COOKED FOOD', 'NG SEAFOOD 01-42', 'NG SEAFOOD 01-43', 'RAHUMATH FOOD', 'RAYNALD ONE VEGE (WM)', 'SEAFOOD 01-47', 'SEAFOOD 01-48', 'SHUN FA FRESH EGG', 'SIN HOE SENG KAT KEE (LU)', 'SOON HENG (LU)', 'SUM PORK 02-11', 'SUM PORK TRADERS (WM)', 'WANG WANG FLORIST (WM)', 'WANG WANG FRUITS STALL', 'WARONG AZIZAH MALAY FOOD', 'YANNE DEPARTMENT STORE']",1.28000480135122,103.82601329621
1,22A HAVELOCK ROAD FOOD CTR,"22A HAVELOCK RD, S161022",['HONG KONG JIN TIAN'],1.28797051657173,103.829623413554
2,48A TANGLIN HALT MARKET,"48A TANGLIN HALT RD, S148813","['01-79', '43 CLOTHES', '48 STALL', '49 STALL', 'AH LUCK SIX', 'BAN SENG ROASTED MEAT', 'BISCUIT', 'BONELESS BRAISED DUCK', 'CHENG MEI SHI HAO WEI DAO', 'CLOTHES', 'CLOTHES 37', 'CLOTHES 38', 'EDMOND CHICKEN RICE', 'FIVE FOOT WAY', 'FRUITS (WHOLE)', 'FRUITS WHOLE', 'HAN LING DIAN XIN', 'MEI JIA FRIED BEE HOON', 'RICE STALL', 'SUNDRI ITEMS', 'TANGLIN 48A WTM', 'TANGLIN HALT ORIGINAL', 'TOA TEE FISHBALL NOODLE', 'TONG ZHEN', 'TONG ZHEN 8', 'WEI YI LAKSA & PRAWN NOODLE']",1.30054407507427,103.797737980247
3,69 GEYLANG BAHRU MARKET AND FOOD CTR,"69 GEYLANG BAHRU, S330069",['HOH JIA PTE. LTD.'],1.32146311046779,103.870005014547
4,79A CIRCUIT ROAD FOOD CTR,"79A CIRCUIT RD, S371079","['RI SHENG', 'WIN DESSERTS & SNACKS', 'XIANG MA']",1.32550687436813,103.88491977038
5,90 WHAMPOA DRIVE FOOD CENTRE,"90 WHAMPOA DR, S320090","['189 HOT AND COLD DRINKS', '5 PERCENT', '61 CURRY CHICKEN', 'ANNIES HALAL CUISINE', 'AUTHENTIC SIAM', 'BALESTIER ROAD HOOVER', 'BARBEQUE SEAFOOD', 'CHA KEE', 'COLA COLD HOT DESSERT', 'DE MASTER LOCKSMITH', 'DELI FISH HEAD STEAMBOAT', 'EASTERN CHICKEN RICE', 'FRESH AND HEALTHY', 'FRIED HOKKIEN PRAWN MEE', 'GROCERY STALL 92', 'HE JIA HUAN BAN MIAN', 'HOW HUP BBQ SEAFOO', 'ISLAND TAILOR', ""IVY'S ALTERATIONS"", 'KIM KEE HOMEMADE CARROT', ""KOH'S CURRY PUFF"", 'KOREAN JAPANESE CUISINE', 'KUAI LE KOPI O', 'LAI LAI HOMEMADE NOODLE', 'LIANG LIANG COOKED FOOD', 'LIANG ZHAO JI', 'LIYING WESTERN', 'MA LA XIANG GUO', ""MEN'S TAILOR FASHION"", 'MING JI ROASTED DUCK', 'NAN XIANG CHICKEN RICE', 'NEWSPAPER 01-91', 'OLD CHONG PANG', 'PIG ORGAN SOUP', 'QIAN XI HAINAN CHICKEN RICE', 'QIAO JI MIAN GUAN', 'QINDE', 'RABIAH MUSLIM FOOD', 'SHIRLEY DELIGHTS', 'SIANG GUAN SUGARCANE', 'SINGAPORE HOKKIEN MEE 32', 'SINGAPORE HOKKIEN MEE 33', 'SPINACH SOUP', 'SUNLAMP FASHION TAILOR', 'TAN AH PING SUGARCANE', 'TEO CHEW BEEF NOODLES', 'WANTON NOODLE', 'WHAMPOA HUA NAN', 'WHAMPOA MAKAN PLACE', 'WHAMPOA SATAY BEE HOON', 'WHAMPOA TRADITIONAL FRIED', 'XIN LUN JI SEAFOOD', 'YUN HUE ORIGINAL', 'ZHENG ZHONG SI CHUAN']",1.32306493801159,103.854996183556
6,ABC BRICKWORKS FOOD CENTRE,"6 JALAN BUKIT MERAH, S150006","['ANG SENG CHOON PROVISION', 'BUKIT MERAH 105 WTM', 'FU JI']",1.28688297261475,103.808131274161
7,ALBERT CENTRE FOOD CENTRE,"270 QUEEN ST, S180270",['MELAKA FLAVOUR'],1.30110201573423,103.854115779087
8,ALJUNIED AVE 2 MARKET AND FOOD CENTRE,"117 ALJUNIED AVE 2, S380117",['JW WESTERN FOOD'],1.32064636781982,103.88702414
9,BENDEMEER MARKET & FOOD CENTRE,"29 BENDEMEER RD, S330029","['106 FOOTWEAR', '168 AH HEE', 'AAA PANCAKE', 'AH LIANG HAO HOU TANG', 'AH WAH VEGETABLE STORE', 'ALTERATIONS', 'AMIGO', 'BENDEMEER PRAWN NOODLE', 'BENG WATCH SERVICE', 'BOON KENG 130 NOODLES', 'CHAI CHEE PORK PORRIDGE', 'CHANGI V COOKED FOOD', 'CHOON ENG FRESH', 'CHOONS FLORIST', 'CHUAN BEE GARMENTS', 'CHUNG PING CHICKEN RICE', 'DA SHUN', 'EAT MAY KNOW', 'FATTY INDONESIAN FRESH', 'HAI SHENG CARROT CAKE', 'HAI SING COFFEE STALL', 'HAI YAN COFFEE STALL', 'HAPPY CAFE', 'HE HAI XIAN SEAFOOD (WM)', 'HEALTHY YONG TAU FU', 'HONG HONG', 'HWA SENG FISH PORRIDGE', 'JIA JIA PORK MEAT', 'JIA VEGETARIAN FOOD', 'JIAN KANG VEGETARIAN FOOD', 'KIDS NINETY NINE', 'KIM SOON SENG (WM)', ""LI JIE'S KITCHEN"", 'MEETING PLACE CAFE', 'MEI MEI FASHION 92', 'MIN JI LAKSA', 'MUM N TOTS', 'PEH 100', 'REGO FASHION (WM)', 'RONG XING FISHBALL', 'SEAFOOD', 'SHA SHA SI ZHUANG', 'SUNRAY FASHION', 'SUPER SHIOK NASI LEMAK', 'TAY SOON TECK STORE', 'TOA PAYOH 93 SOON KUEH', 'WAH KEE', 'WAN GUI BEVERAGES', 'WATCH / PHONE REPAIR CENTRE', 'WEN XIN TEOCHEW PORRIDGE', 'XIN LU FISHBALL NOODLE', 'XING SHENG BREAD', 'YIAM SENG', 'YIAM SENG ROASTED (WM)', 'YONG SIANG CHICKEN RICE', 'YU YI COFFEE & TEA STALL']",1.31921667890113,103.863020922593
